committee_id,chamber,name
2332,S,Small Business And Entrepreneurship
2527,H,"Subcommittee on Railroads, Pipelines, and Hazardous Materials"
2297,H,Agriculture
3662,H,Subcommittee on Transportation and Protective Security
3015,H,Subcommittee on Middle East and North Africa
2318,S,"Agriculture, Nutrition, And Forestry"
3054,H,Subcommittee on Oversight and Management Efficiency
2617,H,Subcommittee on Seapower and Projection Forces
2312,H,Rules
2616,H,Subcommittee on Tactical Air and Land Forces
2320,S,Armed Services
2550,H,Subcommittee on Coast Guard and Maritime Transportation
2313,H,"Science, Space, And Technology"
2315,H,Transportation And Infrastructure
3024,H,"Subcommittee on Africa, Global Health, Global Human Rights and International Organizations"
3028,H,Subcommittee on Space
3014,H,"Subcommittee on Europe, Eurasia, and Emerging Threats"
2302,H,Energy And Commerce
2567,H,"Subcommittee on Terrorism, Nonproliferation, and Trade"
2565,S,Select Intelligence
2631,H,Subcommittee on Oversight and Investigations
2306,H,Homeland Security
2547,H,Subcommittee on Higher Education and Workforce Training
2543,H,"Subcommittee on Health, Employment, Labor, and Pensions"
2545,H,"Subcommittee on Early Childhood, Elementary, and Secondary Education"
2575,H,"Subcommittee on Cybersecurity, Infrastructure Protection, and Security Technologies"
2548,H,Subcommittee on Workforce Protections
3017,H,Subcommittee on Transportation Security
2331,S,Rules And Administration
2303,H,Ethics
2322,S,Budget
2319,S,Appropriations
3789,H,Education and Labor
3994,H,Subcommittee on Immigration and Citizenship
3991,H,"Subcommittee on National Parks, Forests, and Public Lands"
2349,H,"Subcommittee on Crime, Terrorism, and Homeland Security"
3790,H,Oversight and Reform
2521,H,Subcommittee on Space and Aeronautics
4135,H,Environment and Climate Change
3992,H,"Subcommittee on Water, Oceans, and Wildlife"
3983,H,"Subcommittee on Cybersecurity, Infrastructure Protection, and Innovation"
4134,H,Consumer Protection and Commerce
4044,H,"Subcommittee on Antitrust, Commercial, and Administrative Law"
3987,H,Subcommittee on Worker and Family Support
4016,H,Subcommittee on Transportation and Maritime Security
4010,H,"Subcommittee on Economic Development, Public Buildings, and Emergency Management"
4143,H,"Subcommittee on the Constitution, Civil Rights, and Civil Liberties"
3982,H,"Subcommittee on Border Security, Facilitation, and Operations"
4148,H,Subcommittee for Indigenous Peoples of the United States
4032,H,"Subcommittee on Nutrition, Oversight, and Department Operations"
4126,H,"Africa, Global Health, Global Human Rights, and International Organizations"
4128,H,"Middle East, North Africa and International Terrorism"
4127,H,"Asia, the Pacific and Nonproliferation"
4129,H,"Oversight, Management, and Accountability"
4125,H,"Europe, Eurasia, Energy and the Environment"
3984,H,"Subcommittee on Emergency Preparedness, Response, and Recovery"
4052,H,Subcommittee on Intelligence and Emerging Threats and Capabilities
4234,H,Subcommittee on Oversight
3985,H,Subcommittee on Intelligence and Counterterrorism
4130,H,"Western Hemisphere, Civilian Security and Trade"
4286,H,Subcommittee on Select Revenue Measures
4275,S,Select Ethics
4527,H,Technology Modernization Subcommittee
4528,H,"Subcommittee on Africa, Global Health, and Global Human Rights"
4532,H,"Subcommittee on Western Hemisphere, Civilian Security, Migration and International Economic Policy"
4529,H,"Subcommittee on Asia, the Pacific, Central Asia and Nonproliferation"
4533,H,"Subcommittee on Middle East, North Africa and Global Counterterrorism"
4531,H,"Subcommittee on International Development, International Organizations and Global Corporate Social Impact"
4530,H,"Subcommittee on Europe, Energy, the Environment and Cyber"
4692,H,Oversight and Accountability
2576,H,"Subcommittee on Livestock, Dairy, and Poultry"
4835,H,"Subcommittee on General Farm Commodities, Risk Management, and Credit"
4858,H,"Subcommittee on Energy, Climate and Grid Security"
4894,H,"Subcommittee on Environment, Manufacturing, and Critical Materials"
4849,H,"Subcommittee on Conservation, Research, and Biotechnology"
4811,H,"Subcommittee on Nutrition, Foreign Agriculture, and Horticulture"
4972,H,Subcommittee on Work and Welfare
4805,H,Subcommittee on Forestry
4882,H,Subcommittee on Border Security and Enforcement
4837,H,"Water, Wildlife, and Fisheries"
4804,H,"Subcommittee on Commodity Markets, Digital Assets, and Rural Development"
4836,H,Indian and Insular Affairs
4782,H,"Subcommittee on Innovation, Data, and Commerce"
4902,H,Subcommittee on Defense Intelligence and Overhead Architecture
4884,H,"Subcommittee on Oversight, Investigations, and Accountability"
4792,H,Subcommittee on the National Intelligence Enterprise
4793,H,Subcommittee on the National Security Agency and Cyber
2596,H,Subcommittee on Elections
4885,H,Subcommittee on Emergency Management and Technology
4883,H,"Subcommittee on Counterterrorism, Law Enforcement, and Intelligence"
4903,H,Subcommittee on Modernization
4878,H,Subcommittee on the Central Intelligence Agency
4977,H,Education and Workforce
5041,H,"Subcommittee on Water, Wildlife and Fisheries"
